what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1492595956938
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1492595995630
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1492595999154
executed,command,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.edit.text.java.rename.element",1492595999159
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1492596000039
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1492596021245
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1492596052557
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1492596058170
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1492596061491
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1492596063238
